ticket_id,assigned_priority,inferred_severity,mismatch_type,severity_delta,confidence,constraint_analysis
TKT-117015,Low,Medium,Hidden Crisis,+1,0.97,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117016,Medium,Medium,Consistent,0,1.00,"The ticket was assigned priority 'Medium' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 2/3, and resolution time proxy scored 1/3. The 0-level delta classifies this as a 'Consistent' case."
TKT-117018,High,Medium,False Alarm,-1,1.00,"The ticket was assigned priority 'High' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 2/3. The 1-level delta classifies this as a 'False Alarm' case."
TKT-117019,High,High,Consistent,0,1.00,"The ticket was assigned priority 'High' but inferred signals suggest 'High'. Keyword analysis detected 'none', indicating a Medium concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 2/3. The 0-level delta classifies this as a 'Consistent' case."
TKT-117020,Low,Medium,Hidden Crisis,+1,1.00,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'failing', indicating a Medium concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117021,Low,Medium,Hidden Crisis,+1,1.00,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117022,Low,Medium,Hidden Crisis,+1,0.97,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 2/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117023,Low,Medium,Hidden Crisis,+1,0.99,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117024,Low,Medium,Hidden Crisis,+1,0.96,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117025,Medium,High,Hidden Crisis,+1,1.00,"The ticket was assigned priority 'Medium' but inferred signals suggest 'High'. Keyword analysis detected 'none', indicating a Medium concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 1/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
